"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jornada.Mogollon.Brown.Ware","Little.Colorado.White.Ware","Lower.Colorado.Buff.Ware","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Salado.Series","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware"
"Lost Mound",0,0,0,6.26,0,0,0,0,0,0,0,1.56,0,0,0,0,0,1.84,0
"High Mesa",0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0
"Big Pot",0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"Bayless Ruin",0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,35.22,0
"Twin Hawks",0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
"AZ U:4:009 (ASM)",0,0,0,11.12,0,0,0,1,0,0,0,1.5,0,0,0.12,0,0,0,0
"AZ U:8:589 (ASM)",0,0,0,3.67,0.62,0,0,0,0,0,0,4.55,0,0,6.5,0,0,0,0
"AZ V:5:125 (ASM)",0,0,0,5.67,0,0,0,0,0,0,0,1.5,0,0,0.32,0,0,0,0
"Bass Point Mound",0,0,0,242.27,24.52,0,0,27,0,0,3.23,26.6,0,0,66.72,0,0,1.29,0
"Griffen Wash Complex",0,0,0,108.82,20.34,0,0,12,0,0,1.61,134.6,0,0,77.29,0,0,2.58,0
"Indian Point Complex",0,0,0,27.72,1,0,0,4,0,0,0.16,1.49,0,0,1.14,0,0,0.59,0
"Las Tortugas",0,0,0,211.03,0,0,0,67,0,0,0,6.91,0,0,1.71,0,0,0,2.36
"Los Hermanos",0,0,0,58.41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Meddler Point Mound",0,0,0,200.51,7.05,0,0,76,0,0,4.42,185.63,0,0,24.9,0,0,1.36,0
"Pinto Point Mound",0,0,0,304.09,24.82,0,0,22,0,0,1.31,127.56,0,0,16.2,0,0,3.86,0
"Pyramid Point Complex",0,0,0,17.5,0.88,0,0,0,0,0,0.55,19.91,0,0,18.83,0,0,0,0
"Schoolhouse Point Mesa Complex",0,0,0,945.13,21.25,0,0,116,0,0,6.24,0,0,0,0,0,0,2.91,0
"Lovelady Ranch",0,0,0,12.7,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ W:11:7",0,0,0,12.18,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS Ranch",0,0.25,0,128.68,15.54,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0
"Largo Canyon",0,0,0,1.4,18.88,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Foote Canyon Pueblo",0,0,0,515.94,386.49,0,0,0,0,0,0,120.97,0,1.14,0,0,0,0,0
"AZ W:8:4",0,0,0,4.59,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue PO Site",0,0,0,7.76,0.96,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0
"AZ W:8:9",0,0,0,8.44,9.81,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0
"LA 5939",0,0,0,20.05,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 9777",0,0,0,6.12,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 105878",0,0,0,33.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
